Name,Bank Holiday,Date
Spring Bank Holiday,1,2016-05-30
Trooping the Colour,0,2016-06-14
Father's Day,0,2016-06-19
Emmeline Pankhurst Day,0,2016-07-14
St.Swithun's Day (aka St. Swithin's),0,2016-07-15
Summer Bank Holiday,1,2016-08-29
British Summertime (BST) Ends,0,2016-10-30
Halloween,0,2016-10-31
All Saints Day,0,2016-11-01
Guy Fawkes Night,0,2016-11-05
Remembrance Day (Remembrance Sunday),0,2016-11-13
St Andrew's Day,0,2016-11-30
Boxing Day,1,2016-12-26
Christmas,1,2016-12-27
Hogmanay,0,2017-01-01
New Year's Day,1,2017-01-02
Robert Burns Night (Burns Night),0,2017-01-25
Holocaust Memorial Day,0,2017-01-27
Valentines Day,0,2017-02-14
Shrove Tuesday (Pancake Day),0,2017-02-28
Ash Wednesday,0,2017-03-01
St David's Day,0,2017-03-01
St Patricks Day,0,2017-03-17
British Summertime (BST) Begins,0,2017-03-26
Mothering Sunday (Mothers Day),0,2017-03-26
April Fool's Day,0,2017-04-01
Maundy Thursday,0,2017-04-13
Good Friday,1,2017-04-14
Easter Sunday,0,2017-04-16
Easter Monday,1,2017-04-17
Queen Elizabeth's Birthday,0,2017-04-21
St George's Day,0,2017-04-23
May Day (Early May Bank Holiday),1,2017-05-01
Spring Bank Holiday,1,2017-05-29
Trooping the Colour,0,2017-06-14
Father's Day,0,2017-06-18
Emmeline Pankhurst Day,0,2017-07-14
St.Swithun's Day (aka St. Swithin's),0,2017-07-15
Summer Bank Holiday,1,2017-08-28
British Summertime (BST) Ends,0,2017-10-29
Halloween,0,2017-10-31
All Saints Day,0,2017-11-01
Guy Fawkes Night,0,2017-11-05
Remembrance Day (Remembrance Sunday),0,2017-11-12
St Andrew's Day,0,2017-11-30
Christmas,1,2017-12-25
Boxing Day,1,2017-12-26
New Year's Day,1,2018-01-01
Robert Burns Night (Burns Night),0,2018-01-25
Holocaust Memorial Day,0,2018-01-27
Shrove Tuesday (Pancake Day),0,2018-02-13
Ash Wednesday,0,2018-02-14
Valentines Day,0,2018-02-14
St David's Day,0,2018-03-01
Mothering Sunday (Mothers Day),0,2018-03-11
St Patricks Day,0,2018-03-17
British Summertime (BST) Begins,0,2018-03-25
Maundy Thursday,0,2018-03-29
Good Friday,1,2018-03-30
April Fool's Day,0,2018-04-01
Easter Sunday,0,2018-04-01
Easter Monday,1,2018-04-02
Queen Elizabeth's Birthday,0,2018-04-21
St George's Day,0,2018-04-23
May Day (Early May Bank Holiday),1,2018-05-07
Spring Bank Holiday,1,2018-05-28
Trooping the Colour,0,2018-06-14
Father's Day,0,2018-06-17
Emmeline Pankhurst Day,0,2018-07-14
St.Swithun's Day (aka St. Swithin's),0,2018-07-15
Summer Bank Holiday,1,2018-08-27
British Summertime (BST) Ends,0,2018-10-28
Halloween,0,2018-10-31
All Saints Day,0,2018-11-01
Guy Fawkes Night,0,2018-11-05
St Andrew's Day,0,2018-11-30
Christmas,1,2018-12-25
Boxing Day,1,2018-12-26
